title,rating,username,description,date,image_urls,asin_number
"T6, what more could you want?",5.0 out of 5 stars,Claudia Zyskowski,"Sure, you could buy more expensive oils, but it's what's recommended in my truck and it's a good price. I can't complain.","Reviewed in the United States on August 14, 2023",,
Good motor oil,5.0 out of 5 stars,Who cares,Very good solid product. I would recommend using it. I use it all the time when I’m performing flushes and I can say it is as thick as 5w40 supposed to be.,"Reviewed in the United States on August 4, 2023",,
The only full synth name brand 15W-40,5.0 out of 5 stars,R. Dunaway,"I'm going to come right out and say I prefer Mobil 1 synth for oil.  However, all Mobil 1 has is the 5w-40 in full synth.  This is the only name brand 15W-40 I can find for my Duramax diesel.  Works well.  No engine issues.  Comes out looking almost as clean as when it went in.","Reviewed in the United States on July 11, 2023",,
Diesel Oil - Full Synthetic,5.0 out of 5 stars,Bryce Koslan,Oil for my 2018 F-350 6.7L diesel.,"Reviewed in the United States on August 8, 2023",,
use in my susbaru,5.0 out of 5 stars,ROD,cost,"Reviewed in the United States on August 12, 2023",,
I ALWAYS use shell Rotella Synthtic oil,5.0 out of 5 stars,stuart,"I use this oil in virtually everything that I own. My diesel tractor but also my cars (15w40 for my gasoline pickup truck with 150,000 miles on the engine and still going!  It even has the right certification for my Polaris ATV with a wet clutch and my KTM racing dirt bike.  I use extended oil changes and it works great on everything.  My lawnmower needs SAE30 only, or it would use this product too!","Reviewed in the United States on June 30, 2023",,
15w-40... Not 5w-40,5.0 out of 5 stars,Kyle Edwards,"Great summer oil. Will be switching back to 5w once winter gets here, but really happy that Rotella started finally making a thicker oil in Synthetic!","Reviewed in the United States on July 27, 2023",,
Best on the market,5.0 out of 5 stars,Dean,If you need to put oil in your diesel truck this is the stuff.,"Reviewed in the United States on August 1, 2023",,
It’s oil.,5.0 out of 5 stars,Dean Misner,It seems to work.,"Reviewed in the United States on August 5, 2023",,
Oil,5.0 out of 5 stars,George Lovely,It’s oil. It does what it does,"Reviewed in the United States on July 30, 2023",,
