title,rating,username,description,date,image_urls,asin_number
2016 Mazda CX-5 going on 120k miles without issue.,5.0 out of 5 stars,Pat,"I get the cheapest synthetic 0w-20 oil I can find for my 2016 Mazda CX-5 and the Amazon synthetic is usually the cheapest. My CX-5 is running great after 115k miles and I don't drive it easy. I let my kid do the little automatic shifter and we use Sport mode often revving it up and keeping life interesting. The engine runs great and I wouldn't hesitate to use Amazon synthetic oil in any car. After all, it meets the same standards as any other oil for a conventional car.","Reviewed in the United States on August 7, 2023",,
Made by Warren,5.0 out of 5 stars,Mike DeLuca,"Full syn, I change my oil every 5,000.  It states good for 10,000, but no way do i feel comfortable waiting that long. Oil is cheap, engines are expensive","Reviewed in the United States on August 13, 2023",,
Works As Intended,5.0 out of 5 stars,Gad-G Guy,"I’m no mechanic. This is a typical engine oil. I’ve used this before, and I don’t notice anything wrong with the car. I guess it works fine. This one in particular is for 2016 Lexus CT 200h. When I drained the last batch of oil after 5,000 miles of use, the color of the oil is still brown. Not as bad as I would think. I’ve seen old oil came out of this car at about the same mileage, and it was almost black. I think that was Pennzoil.","Reviewed in the United States on July 16, 2023",https://m.media-amazon.com/images/I/81pppdOcexL._SY88.jpg,
All oil is the same,5.0 out of 5 stars,Levi Manalli,You always pay for a brand when it comes to oil. Why waste money on the same thing when you can get this? Very good buy,"Reviewed in the United States on August 9, 2023",,
Works for me,5.0 out of 5 stars,E Hou,Works well.  No different than the pricier ones.  I change every 5k miles.  I'm not pushing it to 10K to save $25.,"Reviewed in the United States on August 9, 2023",,
Good price,5.0 out of 5 stars,awan,Better additives and good price,"Reviewed in the United States on August 16, 2023",,
Great oil,5.0 out of 5 stars,Andrew O.,I run this in all my engines. Works as intended. Great price and I will keep using i until the price goes out of control.,"Reviewed in the United States on August 4, 2023",,
i forget what I got this for lol,5.0 out of 5 stars,John L,"It's synthetic motor oil. If you got a newer vehicle, it can be required for many of them for engines with variable valve timing.","Reviewed in the United States on August 3, 2023",,
Oil is oil,5.0 out of 5 stars,Chad Guthrie,Quit wasting money on name brand oil. It's all the same,"Reviewed in the United States on August 9, 2023",,
its oil!,5.0 out of 5 stars,stever68A,"its oil..
its not 'cheap'/bad. its inexpensive.
if you are looking for inexpensive oil you have found the right item.
I researched many different sources who review oil.
this consistency was a good value..
top 2 -3 4  out of 10
for the price buy it..
stock up if ya can..","Reviewed in the United States on July 18, 2023",,
Doesn’t pass the sniff test,1.0 out of 5 stars,Anita Hoskins,"I had to apologize to my truck for feeding her spoiled milk. I usually use Valvoline, but thought I’d try to save a few bucks. Valvoline has a mild chemical smell. This stuff, on the other hand, wreaks of burnt conventional oil.  I’ll stop short of calling this a scam, but, no way will I put this in my ride again. I’ll have to pack my lunch a couple more days to afford the real stuff.","Reviewed in the United States on June 8, 2022",,
No ratings on the bottle best to stay away,1.0 out of 5 stars,RS,There are no European car ratings on the bottle. You have to be nuts to put an oil that's not read it on the bottle in a European car that's why European cars establish ratings. I do know Volkswagen and Audi will pull samples of oil if there is a significant engine problem to make sure the correct specification oil was used. After additional studying of specs. I fou d there is very little Moly in it The main Ingredient in synthetic oil We ran it in a known test VW engine for 20 days 750 Miles with out standard  Mobil 1 test filter. The engine oil was very black indicative of a high mineral oil base. There appears to be just engouh moly in the oil to make it authentic on paper,"Reviewed in the United States on December 23, 2018",,
